cnt,label,session_id,user_id,createdAt,updatedAt
18,Counselling,769612,745601,2020-12-05,2020-12-05
12,Counselling,769919,745908,2020-12-05,2020-12-05
3,Enquiry,769284,745272,2020-12-04,2020-12-04
1,Enquiry,769350,745338,2020-12-04,2020-12-04
1,Enquiry,765096,745590,2020-12-04,2020-12-04
16,Counselling,768730,744718,2020-12-03,2020-12-03
1,Enquiry,768821,744809,2020-12-03,2020-12-03
4,Counselling,769001,744989,2020-12-03,2020-12-03
6,Counselling,769090,745078,2020-12-03,2020-12-03
2,Enquiry,769143,745131,2020-12-03,2020-12-03
2,Enquiry,767980,743968,2020-12-02,2020-12-02
14,Counselling,768004,743992,2020-12-02,2020-12-02
1,Enquiry,768546,744535,2020-12-02,2020-12-02
2,Enquiry,768567,744555,2020-12-02,2020-12-02
2,Enquiry,767252,743240,2020-12-01,2020-12-01
5,Counselling,767408,743396,2020-12-01,2020-12-01
5,Counselling,766469,742458,2020-11-30,2020-11-30
2,Enquiry,766810,742799,2020-11-30,2020-11-30
4,Counselling,766055,742044,2020-11-29,2020-11-29
2,Enquiry,765943,741931,2020-11-28,2020-11-28
14,Counselling,765966,741954,2020-11-28,2020-11-28
6,Counselling,765030,741018,2020-11-27,2020-11-27
7,Counselling,765358,741346,2020-11-27,2020-11-27
3,Enquiry,765033,741021,2020-11-27,2020-11-27
9,Counselling,765471,741459,2020-11-27,2020-11-27
1,Enquiry,765032,741020,2020-11-27,2020-11-27
35,Counselling,765154,741142,2020-11-27,2020-11-27
25,Counselling,765031,741019,2020-11-27,2020-11-27
3,Enquiry,765195,741183,2020-11-27,2020-11-27
9,Counselling,764557,740544,2020-11-26,2020-11-26
6,Counselling,764770,740758,2020-11-26,2020-11-26
3,Enquiry,764808,740796,2020-11-26,2020-11-26
11,Counselling,764090,740078,2020-11-25,2020-11-25
13,Counselling,763881,739868,2020-11-25,2020-11-25
20,Counselling,762203,738190,2020-11-24,2020-11-24
10,Counselling,762356,738343,2020-11-24,2020-11-24
24,Counselling,762868,738855,2020-11-24,2020-11-24
2,Enquiry,761461,737448,2020-11-23,2020-11-23
11,Counselling,761661,737648,2020-11-23,2020-11-23
1,Enquiry,761945,737932,2020-11-23,2020-11-23
2,Enquiry,761000,736988,2020-11-22,2020-11-22
5,Counselling,761334,737321,2020-11-22,2020-11-22
3,Enquiry,761235,737222,2020-11-22,2020-11-22
12,Counselling,761000,736988,2020-11-21,2020-11-21
1,Enquiry,760667,736655,2020-11-20,2020-11-20
2,Enquiry,733388,710119,2020-11-20,2020-11-20
1,Enquiry,760587,736575,2020-11-20,2020-11-20
3,Enquiry,760051,736039,2020-11-19,2020-11-19
7,Counselling,760503,736491,2020-11-19,2020-11-19
2,Enquiry,760521,736509,2020-11-19,2020-11-19
4,Counselling,759969,735958,2020-11-18,2020-11-18
15,Counselling,759933,735922,2020-11-18,2020-11-18
10,Counselling,759249,735242,2020-11-17,2020-11-17
1,Enquiry,759324,735316,2020-11-17,2020-11-17
2,Enquiry,759170,735164,2020-11-17,2020-11-17
7,Counselling,759569,735559,2020-11-17,2020-11-17
3,Enquiry,759216,735210,2020-11-17,2020-11-17
7,Counselling,759247,735240,2020-11-17,2020-11-17
23,Counselling,758749,734743,2020-11-16,2020-11-16
5,Counselling,758953,734947,2020-11-16,2020-11-16
3,Enquiry,758796,734790,2020-11-16,2020-11-16
7,Counselling,759066,735060,2020-11-16,2020-11-16
8,Counselling,758869,734864,2020-11-16,2020-11-16
5,Counselling,758912,734906,2020-11-16,2020-11-16
3,Enquiry,758946,734940,2020-11-16,2020-11-16
1,Enquiry,758454,734449,2020-11-15,2020-11-15
13,Counselling,758618,734613,2020-11-15,2020-11-15
2,Enquiry,758706,734700,2020-11-15,2020-11-15
5,Counselling,758426,734422,2020-11-14,2020-11-14
3,Enquiry,758261,734257,2020-11-14,2020-11-14
5,Counselling,758401,734397,2020-11-14,2020-11-14
21,Counselling,758404,734400,2020-11-14,2020-11-14
6,Counselling,758002,733997,2020-11-13,2020-11-13
4,Counselling,757870,733865,2020-11-13,2020-11-13
21,Counselling,758003,733998,2020-11-13,2020-11-13
1,Enquiry,757886,733881,2020-11-13,2020-11-13
2,Enquiry,757914,733909,2020-11-13,2020-11-13
2,Enquiry,757925,733920,2020-11-13,2020-11-13
2,Enquiry,757678,733674,2020-11-12,2020-11-12
34,Counselling,757756,733751,2020-11-12,2020-11-12
6,Counselling,757769,733764,2020-11-12,2020-11-12
39,Counselling,757517,733513,2020-11-12,2020-11-12
4,Counselling,757781,733776,2020-11-12,2020-11-12
1,Enquiry,757630,733626,2020-11-12,2020-11-12
1,Enquiry,757858,733853,2020-11-12,2020-11-12
2,Enquiry,757463,733459,2020-11-11,2020-11-11
7,Counselling,757177,733174,2020-11-11,2020-11-11
4,Counselling,757485,733481,2020-11-11,2020-11-11
4,Counselling,757181,733178,2020-11-11,2020-11-11
4,Counselling,757183,733180,2020-11-11,2020-11-11
6,Counselling,756783,732782,2020-11-11,2020-11-11
4,Counselling,756921,732920,2020-11-10,2020-11-10
11,Counselling,756783,732782,2020-11-10,2020-11-10
4,Counselling,756849,732848,2020-11-10,2020-11-10
1,Enquiry,756825,732824,2020-11-10,2020-11-10
4,Counselling,756918,732917,2020-11-10,2020-11-10
1,Enquiry,756529,732528,2020-11-09,2020-11-09
3,Enquiry,756351,732350,2020-11-09,2020-11-09
7,Counselling,756523,732522,2020-11-09,2020-11-09
4,Counselling,756298,732297,2020-11-08,2020-11-08
17,Counselling,755976,731975,2020-11-07,2020-11-07
4,Counselling,755803,731802,2020-11-07,2020-11-07
19,Counselling,755709,731708,2020-11-06,2020-11-06
2,Enquiry,755019,731019,2020-11-05,2020-11-05
9,Counselling,755238,731238,2020-11-05,2020-11-05
4,Counselling,755291,731291,2020-11-05,2020-11-05
9,Counselling,754638,730637,2020-11-04,2020-11-04
2,Enquiry,754887,730886,2020-11-04,2020-11-04
1,Enquiry,754912,730911,2020-11-04,2020-11-04
2,Enquiry,754982,730982,2020-11-04,2020-11-04
8,Counselling,753473,729473,2020-11-03,2020-11-03
3,Enquiry,753433,729433,2020-11-02,2020-11-02
6,Counselling,753183,729184,2020-11-02,2020-11-02
5,Counselling,753437,729437,2020-11-02,2020-11-02
3,Enquiry,753272,729273,2020-11-02,2020-11-02
2,Enquiry,753438,729438,2020-11-02,2020-11-02
3,Enquiry,753298,729299,2020-11-02,2020-11-02
2,Enquiry,753460,729460,2020-11-02,2020-11-02
2,Enquiry,732580,709316,2020-11-02,2020-11-02
2,Enquiry,753182,729183,2020-11-02,2020-11-02
4,Counselling,752995,729002,2020-11-01,2020-11-01
8,Counselling,753023,729028,2020-11-01,2020-11-01
11,Counselling,753103,729105,2020-11-01,2020-11-01
5,Counselling,752835,728854,2020-10-31,2020-10-31
1,Enquiry,728503,705262,2020-10-30,2020-10-30
5,Counselling,750429,726683,2020-10-28,2020-10-28
18,Counselling,750947,727164,2020-10-28,2020-10-28
7,Counselling,751149,727351,2020-10-28,2020-10-28
2,Enquiry,750175,726449,2020-10-27,2020-10-27
10,Counselling,729737,706488,2020-10-27,2020-10-27
1,Enquiry,731298,708043,2020-10-27,2020-10-27
2,Enquiry,732580,709316,2020-10-27,2020-10-27
11,Counselling,749390,725733,2020-10-26,2020-10-26
3,Enquiry,748097,724566,2020-10-25,2020-10-25
2,Enquiry,747822,724323,2020-10-24,2020-10-24
3,Enquiry,747958,724446,2020-10-24,2020-10-24
7,Counselling,747251,723839,2020-10-23,2020-10-23
4,Counselling,747386,723953,2020-10-23,2020-10-23
97,Counselling,732519,709256,2020-10-23,2020-10-23
9,Counselling,732512,709249,2020-10-23,2020-10-23
2,Enquiry,746047,722704,2020-10-21,2020-10-21
9,Counselling,746295,722942,2020-10-21,2020-10-21
3,Enquiry,745743,722406,2020-10-20,2020-10-20
6,Counselling,745851,722514,2020-10-20,2020-10-20
5,Counselling,745891,722553,2020-10-20,2020-10-20
1,Enquiry,732580,709316,2020-10-19,2020-10-19
57,Counselling,744322,721034,2020-10-18,2020-10-18
2,Enquiry,731298,708043,2020-10-16,2020-10-16
2,Enquiry,732512,709249,2020-10-16,2020-10-16
19,Counselling,741608,718316,2020-10-16,2020-10-16
3,Enquiry,736753,713465,2020-10-14,2020-10-14
1,Enquiry,731226,707971,2020-10-13,2020-10-13
6,Counselling,732580,709316,2020-10-13,2020-10-13
2,Enquiry,735514,712226,2020-10-13,2020-10-13
20,Counselling,736681,713393,2020-10-13,2020-10-13
24,Counselling,735207,711921,2020-10-12,2020-10-12
7,Counselling,735013,711730,2020-10-10,2020-10-10
1,Enquiry,735082,711797,2020-10-10,2020-10-10
30,Counselling,734767,711485,2020-10-09,2020-10-09
10,Counselling,734978,711695,2020-10-09,2020-10-09
29,Counselling,734985,711702,2020-10-09,2020-10-09
2,Enquiry,734767,711485,2020-10-08,2020-10-08
2,Enquiry,734810,711528,2020-10-08,2020-10-08
3,Enquiry,734546,711274,2020-10-07,2020-10-07
36,Counselling,734338,711068,2020-10-06,2020-10-06
1,Enquiry,729737,706488,2020-10-06,2020-10-06
1,Enquiry,732580,709316,2020-10-05,2020-10-05
8,Counselling,729737,706488,2020-10-05,2020-10-05
1,Enquiry,733690,710421,2020-10-04,2020-10-04
2,Enquiry,733732,710463,2020-10-04,2020-10-04
1,Enquiry,733586,710317,2020-10-03,2020-10-03
10,Counselling,733481,710212,2020-10-02,2020-10-02
1,Enquiry,733544,710275,2020-10-02,2020-10-02
16,Counselling,733562,710293,2020-10-02,2020-10-02
2,Enquiry,733388,710119,2020-10-01,2020-10-01
108,Counselling,732821,709553,2020-09-30,2020-09-30
2,Enquiry,733067,709798,2020-09-30,2020-09-30
1,Enquiry,733099,709830,2020-09-30,2020-09-30
3,Enquiry,732674,709409,2020-09-29,2020-09-29
3,Enquiry,732316,709054,2020-09-29,2020-09-29
2,Enquiry,728503,705262,2020-09-29,2020-09-29
5,Counselling,732580,709316,2020-09-29,2020-09-29
4,Counselling,732253,708992,2020-09-28,2020-09-28
1,Enquiry,731941,708681,2020-09-28,2020-09-28
1,Enquiry,731947,708687,2020-09-28,2020-09-28
1,Enquiry,732193,708932,2020-09-28,2020-09-28
6,Counselling,732198,708937,2020-09-28,2020-09-28
12,Counselling,731805,708547,2020-09-27,2020-09-27
4,Counselling,731705,708447,2020-09-27,2020-09-27
4,Counselling,731804,708546,2020-09-27,2020-09-27
1,Enquiry,731341,708086,2020-09-25,2020-09-25
19,Counselling,731389,708134,2020-09-25,2020-09-25
20,Counselling,731407,708152,2020-09-25,2020-09-25
1,Enquiry,731265,708010,2020-09-25,2020-09-25
4,Counselling,731298,708043,2020-09-25,2020-09-25
4,Counselling,730504,707252,2020-09-23,2020-09-23
30,Counselling,730510,707258,2020-09-23,2020-09-23
11,Counselling,730140,706890,2020-09-22,2020-09-22
14,Counselling,730159,706909,2020-09-22,2020-09-22
4,Counselling,729762,706513,2020-09-21,2020-09-21
9,Counselling,729863,706614,2020-09-21,2020-09-21
2,Enquiry,730100,706850,2020-09-21,2020-09-21
17,Counselling,729457,706212,2020-09-20,2020-09-20
2,Enquiry,729612,706364,2020-09-20,2020-09-20
12,Counselling,729618,706370,2020-09-20,2020-09-20
5,Counselling,729620,706372,2020-09-20,2020-09-20
4,Counselling,729289,706045,2020-09-19,2020-09-19
2,Enquiry,729346,706101,2020-09-19,2020-09-19
3,Enquiry,728643,705401,2020-09-17,2020-09-17
5,Counselling,728756,705512,2020-09-17,2020-09-17
11,Counselling,728778,705534,2020-09-17,2020-09-17
1,Enquiry,720560,705023,2020-09-16,2020-09-16
6,Counselling,728415,705175,2020-09-16,2020-09-16
2,Enquiry,728531,705290,2020-09-16,2020-09-16
9,Counselling,728187,704947,2020-09-15,2020-09-15
7,Counselling,728091,704851,2020-09-15,2020-09-15
2,Enquiry,724215,700979,2020-09-14,2020-09-14
12,Counselling,726132,702896,2020-09-14,2020-09-14
3,Enquiry,727772,704535,2020-09-14,2020-09-14
6,Counselling,722838,699602,2020-09-14,2020-09-14
6,Counselling,727792,704554,2020-09-14,2020-09-14
15,Counselling,722894,699658,2020-09-14,2020-09-14
1,Enquiry,719802,696566,2020-09-13,2020-09-13
4,Counselling,716555,693319,2020-09-11,2020-09-11
11,Counselling,717840,694604,2020-09-11,2020-09-11
18,Counselling,713629,690393,2020-09-11,2020-09-11
13,Counselling,713743,690507,2020-09-11,2020-09-11
3,Enquiry,709997,686762,2020-09-11,2020-09-11
4,Counselling,708758,685523,2020-09-10,2020-09-10
4,Counselling,707745,684505,2020-09-10,2020-09-10
6,Counselling,708751,685516,2020-09-10,2020-09-10
9,Counselling,687233,663998,2020-09-08,2020-09-08
2,Enquiry,675945,652713,2020-09-07,2020-09-07
3,Enquiry,676016,652784,2020-09-07,2020-09-07
5,Counselling,668540,645309,2020-09-06,2020-09-06
9,Counselling,670746,647515,2020-09-06,2020-09-06
4,Counselling,671474,648242,2020-09-06,2020-09-06
11,Counselling,664252,641021,2020-09-05,2020-09-05
17,Counselling,661151,637921,2020-09-05,2020-09-05
2,Enquiry,626301,603074,2020-09-03,2020-09-03
2,Enquiry,626328,603101,2020-09-03,2020-09-03
11,Counselling,637254,614027,2020-09-03,2020-09-03
9,Counselling,638652,615425,2020-09-03,2020-09-03
11,Counselling,620239,597012,2020-09-02,2020-09-02
2,Enquiry,96351,73053,2020-09-01,2020-09-01
7,Counselling,599357,576133,2020-09-01,2020-09-01
14,Counselling,607943,584716,2020-09-01,2020-09-01
9,Counselling,591647,568423,2020-08-31,2020-08-31
4,Counselling,594250,571026,2020-08-31,2020-08-31
2,Enquiry,96351,73053,2020-08-28,2020-08-28
1,Enquiry,550829,527610,2020-08-28,2020-08-28
7,Counselling,551116,527897,2020-08-28,2020-08-28
5,Counselling,109794,86227,2020-08-27,2020-08-27
2,Enquiry,463562,440351,2020-08-25,2020-08-25
18,Counselling,377132,353925,2020-08-25,2020-08-25
4,Counselling,499222,476012,2020-08-25,2020-08-25
14,Counselling,456023,432812,2020-08-24,2020-08-24
17,Counselling,374315,351108,2020-08-22,2020-08-22
14,Counselling,377132,353925,2020-08-22,2020-08-22
8,Counselling,369860,346655,2020-08-21,2020-08-21
3,Enquiry,96351,73053,2020-08-20,2020-08-20
5,Counselling,364108,340903,2020-08-20,2020-08-20
2,Enquiry,364146,340941,2020-08-20,2020-08-20
26,Counselling,345437,322247,2020-08-19,2020-08-19
10,Counselling,363428,340224,2020-08-19,2020-08-19
20,Counselling,363699,340494,2020-08-19,2020-08-19
1,Enquiry,1372,1218,2020-08-18,2020-08-18
2,Enquiry,362820,339621,2020-08-18,2020-08-18
2,Enquiry,362115,338921,2020-08-17,2020-08-17
2,Enquiry,96351,73053,2020-08-17,2020-08-17
6,Counselling,359455,336261,2020-08-17,2020-08-17
4,Counselling,102067,78756,2020-08-17,2020-08-17
5,Counselling,343450,320260,2020-08-15,2020-08-15
2,Enquiry,345391,322201,2020-08-15,2020-08-15
42,Counselling,345437,322247,2020-08-15,2020-08-15
14,Counselling,109794,86227,2020-08-12,2020-08-12
2,Enquiry,110141,86571,2020-08-12,2020-08-12
1,Enquiry,305332,282159,2020-08-11,2020-08-11
2,Enquiry,307455,284282,2020-08-11,2020-08-11
37,Counselling,109794,86227,2020-08-10,2020-08-10
1,Enquiry,290060,266896,2020-08-10,2020-08-10
13,Counselling,278615,255454,2020-08-09,2020-08-09
5,Counselling,278712,255551,2020-08-09,2020-08-09
12,Counselling,257825,234665,2020-08-08,2020-08-08
12,Counselling,236804,213647,2020-08-06,2020-08-06
17,Counselling,236893,213736,2020-08-06,2020-08-06
1,Enquiry,236927,213770,2020-08-06,2020-08-06
28,Counselling,213200,190045,2020-08-05,2020-08-05
4,Counselling,221512,198357,2020-08-05,2020-08-05
40,Counselling,102067,78756,2020-08-04,2020-08-04
5,Counselling,199769,176620,2020-08-04,2020-08-04
2,Enquiry,208078,184924,2020-08-04,2020-08-04
3,Enquiry,210641,187487,2020-08-04,2020-08-04
7,Counselling,102067,78756,2020-08-03,2020-08-03
1,Enquiry,199769,176620,2020-08-03,2020-08-03
1,Enquiry,191219,168072,2020-08-02,2020-08-02
4,Counselling,195875,172727,2020-08-02,2020-08-02
3,Enquiry,175838,152694,2020-07-31,2020-07-31
10,Counselling,102067,78756,2020-07-31,2020-07-31
11,Counselling,171461,148317,2020-07-31,2020-07-31
4,Counselling,174630,151486,2020-07-31,2020-07-31
34,Counselling,175803,152659,2020-07-31,2020-07-31
11,Counselling,130700,107557,2020-07-29,2020-07-29
5,Counselling,134417,111277,2020-07-29,2020-07-29
2,Enquiry,141049,117903,2020-07-29,2020-07-29
7,Counselling,141092,117946,2020-07-29,2020-07-29
4,Counselling,981,894,2020-07-28,2020-07-28
2,Enquiry,123615,100474,2020-07-28,2020-07-28
1,Enquiry,124075,100933,2020-07-28,2020-07-28
11,Counselling,114565,91387,2020-07-27,2020-07-27
7,Counselling,114673,91502,2020-07-27,2020-07-27
6,Counselling,114322,91124,2020-07-27,2020-07-27
19,Counselling,114426,91237,2020-07-27,2020-07-27
4,Counselling,114427,91238,2020-07-27,2020-07-27
3,Enquiry,114061,90851,2020-07-25,2020-07-25
8,Counselling,114130,90919,2020-07-25,2020-07-25
28,Counselling,113995,90783,2020-07-25,2020-07-25
1,Enquiry,114048,90838,2020-07-25,2020-07-25
6,Counselling,113884,90665,2020-07-24,2020-07-24
74,Counselling,113918,90701,2020-07-24,2020-07-24
3,Enquiry,113092,89783,2020-07-23,2020-07-23
2,Enquiry,112824,89477,2020-07-23,2020-07-23
23,Counselling,981,894,2020-07-22,2020-07-22
7,Counselling,111835,88391,2020-07-21,2020-07-21
5,Counselling,981,894,2020-07-20,2020-07-20
2,Enquiry,110996,87466,2020-07-20,2020-07-20
5,Counselling,110546,86996,2020-07-19,2020-07-19
2,Enquiry,110673,87123,2020-07-19,2020-07-19
4,Counselling,110676,87127,2020-07-19,2020-07-19
2,Enquiry,110423,86872,2020-07-18,2020-07-18
1,Enquiry,110416,86866,2020-07-18,2020-07-18
26,Counselling,110141,86571,2020-07-17,2020-07-17
2,Enquiry,110271,86706,2020-07-17,2020-07-17
5,Counselling,109961,86397,2020-07-16,2020-07-16
25,Counselling,981,894,2020-07-16,2020-07-16
5,Counselling,108238,84833,2020-07-14,2020-07-14
5,Counselling,108687,85223,2020-07-14,2020-07-14
4,Counselling,108881,85397,2020-07-14,2020-07-14
4,Counselling,108238,84833,2020-07-13,2020-07-13
10,Counselling,107571,84193,2020-07-10,2020-07-10
7,Counselling,107598,84219,2020-07-10,2020-07-10
1,Enquiry,106924,83571,2020-07-09,2020-07-09
9,Counselling,106941,83591,2020-07-09,2020-07-09
22,Counselling,106701,83348,2020-07-08,2020-07-08
16,Counselling,105876,82555,2020-07-07,2020-07-07
3,Enquiry,981,894,2020-07-07,2020-07-07
2,Enquiry,105701,82384,2020-07-07,2020-07-07
4,Counselling,981,894,2020-07-06,2020-07-06
1,Enquiry,105457,82143,2020-07-06,2020-07-06
26,Counselling,105650,82328,2020-07-06,2020-07-06
5,Counselling,105701,82384,2020-07-06,2020-07-06
2,Enquiry,105099,81785,2020-07-04,2020-07-04
7,Counselling,105045,81733,2020-07-03,2020-07-03
14,Counselling,104396,81102,2020-07-02,2020-07-02
7,Counselling,104697,81389,2020-07-02,2020-07-02
1,Enquiry,103947,80669,2020-07-01,2020-07-01
1,Enquiry,103827,80539,2020-06-30,2020-06-30
19,Counselling,103475,80181,2020-06-30,2020-06-30
9,Counselling,103118,79827,2020-06-29,2020-06-29
3,Enquiry,103199,79908,2020-06-29,2020-06-29
1,Enquiry,103204,79913,2020-06-29,2020-06-29
12,Counselling,103333,80037,2020-06-29,2020-06-29
8,Counselling,102828,79541,2020-06-28,2020-06-28
8,Counselling,102897,79611,2020-06-28,2020-06-28
15,Counselling,101994,78689,2020-06-25,2020-06-25
5,Counselling,102378,79078,2020-06-25,2020-06-25
3,Enquiry,101806,78510,2020-06-24,2020-06-24
3,Enquiry,101850,78555,2020-06-24,2020-06-24
1,Enquiry,101054,77741,2020-06-23,2020-06-23
32,Counselling,101361,78051,2020-06-23,2020-06-23
2,Enquiry,100936,77623,2020-06-22,2020-06-22
1,Enquiry,100834,77526,2020-06-22,2020-06-22
18,Counselling,100922,77611,2020-06-22,2020-06-22
2,Enquiry,100286,76965,2020-06-21,2020-06-21
3,Enquiry,100288,76967,2020-06-21,2020-06-21
3,Enquiry,99795,76478,2020-06-19,2020-06-19
10,Counselling,99806,76489,2020-06-19,2020-06-19
1,Enquiry,99894,76579,2020-06-19,2020-06-19
1,Enquiry,99901,76587,2020-06-19,2020-06-19
3,Enquiry,99927,76614,2020-06-19,2020-06-19
3,Enquiry,99505,76184,2020-06-18,2020-06-18
6,Counselling,99660,76343,2020-06-18,2020-06-18
1,Enquiry,98511,75168,2020-06-16,2020-06-16
6,Counselling,98949,75614,2020-06-16,2020-06-16
15,Counselling,97870,74517,2020-06-14,2020-06-14
2,Enquiry,97817,74468,2020-06-13,2020-06-13
24,Counselling,97818,74469,2020-06-13,2020-06-13
2,Enquiry,97007,73659,2020-06-11,2020-06-11
4,Counselling,97128,73774,2020-06-11,2020-06-11
15,Counselling,96537,73229,2020-06-10,2020-06-10
5,Counselling,96351,73053,2020-06-10,2020-06-10
1,Enquiry,96715,73392,2020-06-10,2020-06-10
8,Counselling,96305,73008,2020-06-09,2020-06-09
8,Counselling,96485,73181,2020-06-09,2020-06-09
